43d92e12-fd65-4d9f-90be-aa118423035e 200 ::1 GET /admin/admin-dashboard 37.281 [Tue, 12 Oct 2021 12:06:45 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
a9f9174c-1b4b-4eaf-a960-6359113f4049 200 ::1 GET /admin/admin-dashboard 37.804 [Tue, 12 Oct 2021 12:09:09 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
613044f5-32c1-42c3-9415-51f60bd29133 200 ::1 GET /create-user 10.691 [Tue, 12 Oct 2021 12:09:13 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
b7699ccf-01a8-44de-95ee-40bb384085c9 200 ::1 GET /admin/admin-dashboard 31.653 [Tue, 12 Oct 2021 12:11:25 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
7a2338a5-ef20-4189-b510-83530a29ca61 200 ::1 GET /create-user 12.143 [Tue, 12 Oct 2021 12:11:31 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
f0ac9ecd-2bd5-4094-9d61-97d67ad7475e 304 ::1 GET /create-user 59.710 [Tue, 12 Oct 2021 12:29:41 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
06341f3f-598c-4a32-990b-815129384fd0 200 ::ffff:127.0.0.1 GET /create-user 33.483 [Tue, 12 Oct 2021 12:30:54 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
aab006a9-9992-49ab-9f07-36ae4ad65aff 200 ::1 GET /admin/admin-dashboard 21.715 [Tue, 12 Oct 2021 12:31:03 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
4835ca5b-84ed-4667-a15a-ac111437899b 200 ::1 GET /login 11.057 [Tue, 12 Oct 2021 12:31:06 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
ae1822eb-73f3-4d0c-9f38-d06e90a34971 302 ::1 POST /login 113.372 [Tue, 12 Oct 2021 12:31:12 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
